Date,ConfirmedCovidCases
2020/02/29 00:00:00+00,1
2020/03/03 00:00:00+00,1
2020/03/04 00:00:00+00,4
2020/03/05 00:00:00+00,7
2020/03/06 00:00:00+00,5
2020/03/07 00:00:00+00,1
2020/03/08 00:00:00+00,2
2020/03/09 00:00:00+00,3
2020/03/10 00:00:00+00,10
2020/03/11 00:00:00+00,9
2020/03/12 00:00:00+00,27
2020/03/13 00:00:00+00,20
2020/03/14 00:00:00+00,39
2020/03/15 00:00:00+00,40
2020/03/16 00:00:00+00,54
2020/03/17 00:00:00+00,69
2020/03/18 00:00:00+00,74
2020/03/19 00:00:00+00,191
2020/03/20 00:00:00+00,126
2020/03/21 00:00:00+00,102
2020/03/22 00:00:00+00,121
2020/03/23 00:00:00+00,219
2020/03/24 00:00:00+00,204
2020/03/25 00:00:00+00,235
2020/03/26 00:00:00+00,255
2020/03/27 00:00:00+00,302
2020/03/28 00:00:00+00,294
2020/03/29 00:00:00+00,200
2020/03/30 00:00:00+00,295
2020/03/31 00:00:00+00,325
2020/04/01 00:00:00+00,212
2020/04/02 00:00:00+00,402
2020/04/03 00:00:00+00,424
2020/04/04 00:00:00+00,331
2020/04/05 00:00:00+00,390
2020/04/06 00:00:00+00,370
2020/04/07 00:00:00+00,345
2020/04/08 00:00:00+00,365
2020/04/09 00:00:00+00,500
2020/04/10 00:00:00+00,480
2020/04/11 00:00:00+00,553
2020/04/12 00:00:00+00,430
2020/04/13 00:00:00+00,527
2020/04/14 00:00:00+00,548
2020/04/15 00:00:00+00,657
2020/04/16 00:00:00+00,629
2020/04/17 00:00:00+00,597
2020/04/18 00:00:00+00,630
2020/04/19 00:00:00+00,445
2020/04/20 00:00:00+00,401
2020/04/21 00:00:00+00,388
2020/04/22 00:00:00+00,631
2020/04/23 00:00:00+00,936
2020/04/24 00:00:00+00,577
2020/04/25 00:00:00+00,377
2020/04/26 00:00:00+00,701
2020/04/27 00:00:00+00,386
2020/04/28 00:00:00+00,229
2020/04/29 00:00:00+00,376
2020/04/30 00:00:00+00,359
2020/05/01 00:00:00+00,221
2020/05/02 00:00:00+00,343
2020/05/03 00:00:00+00,330
2020/05/04 00:00:00+00,266
2020/05/05 00:00:00+00,211
2020/05/06 00:00:00+00,265
2020/05/07 00:00:00+00,137
2020/05/08 00:00:00+00,156
2020/05/09 00:00:00+00,219
2020/05/10 00:00:00+00,236
2020/05/11 00:00:00+00,139
2020/05/12 00:00:00+00,107
2020/05/13 00:00:00+00,159
2020/05/14 00:00:00+00,426
2020/05/15 00:00:00+00,129
2020/05/16 00:00:00+00,92
2020/05/17 00:00:00+00,64
2020/05/18 00:00:00+00,88
2020/05/19 00:00:00+00,51
2020/05/20 00:00:00+00,64
2020/05/21 00:00:00+00,76
2020/05/22 00:00:00+00,115
2020/05/23 00:00:00+00,76
2020/05/24 00:00:00+00,57
2020/05/25 00:00:00+00,59
2020/05/26 00:00:00+00,37
2020/05/27 00:00:00+00,73
2020/05/28 00:00:00+00,46
2020/05/29 00:00:00+00,39
2020/05/30 00:00:00+00,59
2020/05/31 00:00:00+00,66
2020/06/01 00:00:00+00,77
2020/06/02 00:00:00+00,10
2020/06/03 00:00:00+00,47
2020/06/04 00:00:00+00,38
2020/06/05 00:00:00+00,28
2020/06/06 00:00:00+00,24
2020/06/07 00:00:00+00,25
2020/06/08 00:00:00+00,9
2020/06/09 00:00:00+00,9
2020/06/10 00:00:00+00,19
2020/06/11 00:00:00+00,8
2020/06/12 00:00:00+00,13
2020/06/13 00:00:00+00,46
2020/06/14 00:00:00+00,8
2020/06/15 00:00:00+00,18
2020/06/16 00:00:00+00,14
2020/06/17 00:00:00+00,8
2020/06/18 00:00:00+00,16
2020/06/19 00:00:00+00,13
2020/06/20 00:00:00+00,22
2020/06/21 00:00:00+00,6
2020/06/22 00:00:00+00,4
2020/06/23 00:00:00+00,10
2020/06/24 00:00:00+00,5
2020/06/25 00:00:00+00,11
2020/06/26 00:00:00+00,11
