Date,TotalConfirmedCovidCases
2020/02/29 00:00:00+00,1
2020/03/03 00:00:00+00,2
2020/03/04 00:00:00+00,6
2020/03/05 00:00:00+00,13
2020/03/06 00:00:00+00,18
2020/03/07 00:00:00+00,19
2020/03/08 00:00:00+00,21
2020/03/09 00:00:00+00,24
2020/03/10 00:00:00+00,34
2020/03/11 00:00:00+00,43
2020/03/12 00:00:00+00,70
2020/03/13 00:00:00+00,90
2020/03/14 00:00:00+00,129
2020/03/15 00:00:00+00,169
2020/03/16 00:00:00+00,223
2020/03/17 00:00:00+00,292
2020/03/18 00:00:00+00,366
2020/03/19 00:00:00+00,557
2020/03/20 00:00:00+00,683
2020/03/21 00:00:00+00,785
2020/03/22 00:00:00+00,906
2020/03/23 00:00:00+00,1125
2020/03/24 00:00:00+00,1329
2020/03/25 00:00:00+00,1564
2020/03/26 00:00:00+00,1819
2020/03/27 00:00:00+00,2121
2020/03/28 00:00:00+00,2415
2020/03/29 00:00:00+00,2615
2020/03/30 00:00:00+00,2910
2020/03/31 00:00:00+00,3235
2020/04/01 00:00:00+00,3447
2020/04/02 00:00:00+00,3849
2020/04/03 00:00:00+00,4273
2020/04/04 00:00:00+00,4604
2020/04/05 00:00:00+00,4994
2020/04/06 00:00:00+00,5364
2020/04/07 00:00:00+00,5709
2020/04/08 00:00:00+00,6074
2020/04/09 00:00:00+00,6574
2020/04/10 00:00:00+00,7054
2020/04/11 00:00:00+00,8928
2020/04/12 00:00:00+00,9655
2020/04/13 00:00:00+00,10647
2020/04/14 00:00:00+00,11479
2020/04/15 00:00:00+00,12547
2020/04/16 00:00:00+00,13271
2020/04/17 00:00:00+00,13980
2020/04/18 00:00:00+00,14758
2020/04/19 00:00:00+00,15251
2020/04/20 00:00:00+00,15652
2020/04/21 00:00:00+00,16040
2020/04/22 00:00:00+00,16671
2020/04/23 00:00:00+00,17607
2020/04/24 00:00:00+00,18184
2020/04/25 00:00:00+00,18561
2020/04/26 00:00:00+00,19262
2020/04/27 00:00:00+00,19648
2020/04/28 00:00:00+00,19877
2020/04/29 00:00:00+00,20253
2020/04/30 00:00:00+00,20612
2020/05/01 00:00:00+00,20833
2020/05/02 00:00:00+00,21176
2020/05/03 00:00:00+00,21506
2020/05/04 00:00:00+00,21772
2020/05/05 00:00:00+00,21983
2020/05/06 00:00:00+00,22248
2020/05/07 00:00:00+00,22385
2020/05/08 00:00:00+00,22541
2020/05/09 00:00:00+00,22760
2020/05/10 00:00:00+00,22996
2020/05/11 00:00:00+00,23135
2020/05/12 00:00:00+00,23242
2020/05/13 00:00:00+00,23401
2020/05/14 00:00:00+00,23827
2020/05/15 00:00:00+00,23956
2020/05/16 00:00:00+00,24048
2020/05/17 00:00:00+00,24112
2020/05/18 00:00:00+00,24200
2020/05/19 00:00:00+00,24251
2020/05/20 00:00:00+00,24315
2020/05/21 00:00:00+00,24391
2020/05/22 00:00:00+00,24506
2020/05/23 00:00:00+00,24582
2020/05/24 00:00:00+00,24639
2020/05/25 00:00:00+00,24698
2020/05/26 00:00:00+00,24735
2020/05/27 00:00:00+00,24803
2020/05/28 00:00:00+00,24841
2020/05/29 00:00:00+00,24876
2020/05/30 00:00:00+00,24929
2020/05/31 00:00:00+00,24990
2020/06/01 00:00:00+00,25062
2020/06/02 00:00:00+00,25066
2020/06/03 00:00:00+00,25111
2020/06/04 00:00:00+00,25142
2020/06/05 00:00:00+00,25163
2020/06/06 00:00:00+00,25183
2020/06/07 00:00:00+00,25201
2020/06/08 00:00:00+00,25207
2020/06/09 00:00:00+00,25215
2020/06/10 00:00:00+00,25231
2020/06/11 00:00:00+00,25238
2020/06/12 00:00:00+00,25250
2020/06/13 00:00:00+00,25295
2020/06/14 00:00:00+00,25303
2020/06/15 00:00:00+00,25321
2020/06/16 00:00:00+00,25334
2020/06/17 00:00:00+00,25341
2020/06/18 00:00:00+00,25355
2020/06/19 00:00:00+00,25368
2020/06/20 00:00:00+00,25374
2020/06/21 00:00:00+00,25379
2020/06/22 00:00:00+00,25383
2020/06/23 00:00:00+00,25391
2020/06/24 00:00:00+00,25396
2020/06/25 00:00:00+00,25405
2020/06/26 00:00:00+00,25414
2020/06/27 00:00:00+00,25437
2020/06/28 00:00:00+00,25438
2020/06/29 00:00:00+00,25462
2020/06/30 00:00:00+00,25473
2020/07/01 00:00:00+00,25477
2020/07/02 00:00:00+00,25489
2020/07/03 00:00:00+00,25498
2020/07/04 00:00:00+00,25509
2020/07/05 00:00:00+00,25527
2020/07/06 00:00:00+00,25531
2020/07/07 00:00:00+00,25538
2020/07/08 00:00:00+00,25542
2020/07/09 00:00:00+00,25565
2020/07/10 00:00:00+00,25589
2020/07/11 00:00:00+00,25611
2020/07/12 00:00:00+00,25628
2020/07/13 00:00:00+00,25638
2020/07/14 00:00:00+00,25670
2020/07/15 00:00:00+00,25683
2020/07/16 00:00:00+00,25698
2020/07/17 00:00:00+00,25730
2020/07/18 00:00:00+00,25750
2020/07/19 00:00:00+00,25760
2020/07/20 00:00:00+00,25766
2020/07/21 00:00:00+00,25802
2020/07/22 00:00:00+00,25819
2020/07/23 00:00:00+00,25826
2020/07/24 00:00:00+00,25845
2020/07/25 00:00:00+00,25869
2020/07/26 00:00:00+00,25881
2020/07/27 00:00:00+00,25892
2020/07/28 00:00:00+00,25929
2020/07/29 00:00:00+00,25942
2020/07/30 00:00:00+00,26027
2020/07/31 00:00:00+00,26065
2020/08/01 00:00:00+00,26109
2020/08/02 00:00:00+00,26162
2020/08/03 00:00:00+00,26208
2020/08/04 00:00:00+00,26253
2020/08/05 00:00:00+00,26303
2020/08/06 00:00:00+00,26372
2020/08/07 00:00:00+00,26470
2020/08/08 00:00:00+00,26644
2020/08/09 00:00:00+00,26712
2020/08/10 00:00:00+00,26768
2020/08/11 00:00:00+00,26801
2020/08/12 00:00:00+00,26838
2020/08/13 00:00:00+00,26929
2020/08/14 00:00:00+00,26995
2020/08/15 00:00:00+00,27191
2020/08/16 00:00:00+00,27257
2020/08/17 00:00:00+00,27313
2020/08/18 00:00:00+00,27499
2020/08/19 00:00:00+00,27547
2020/08/20 00:00:00+00,27676
2020/08/21 00:00:00+00,27755
2020/08/22 00:00:00+00,27908
2020/08/23 00:00:00+00,27969
2020/08/24 00:00:00+00,28116
2020/08/25 00:00:00+00,28201
2020/08/26 00:00:00+00,28363
