Date,Deaths
29/02/2020,0
03/03/2020,0
04/03/2020,0
05/03/2020,0
06/03/2020,0
07/03/2020,0
08/03/2020,0
09/03/2020,0
10/03/2020,0
11/03/2020,1
12/03/2020,0
13/03/2020,0
14/03/2020,1
15/03/2020,0
16/03/2020,0
17/03/2020,0
18/03/2020,0
19/03/2020,1
20/03/2020,0
21/03/2020,0
22/03/2020,1
23/03/2020,2
24/03/2020,1
25/03/2020,2
26/03/2020,10
27/03/2020,3
28/03/2020,14
29/03/2020,10
30/03/2020,8
31/03/2020,17
01/04/2020,14
02/04/2020,13
03/04/2020,22
04/04/2020,17
05/04/2020,21
06/04/2020,16
07/04/2020,36
08/04/2020,25
09/04/2020,28
10/04/2020,25
11/04/2020,33
12/04/2020,14
13/04/2020,31
14/04/2020,41
15/04/2020,38
16/04/2020,43
17/04/2020,44
18/04/2020,41
19/04/2020,39
20/04/2020,77
21/04/2020,44
22/04/2020,49
23/04/2020,28
24/04/2020,37
25/04/2020,42
26/04/2020,26
27/04/2020,18
28/04/2020,59
29/04/2020,31
30/04/2020,43
01/05/2020,34
02/05/2020,25
03/05/2020,19
04/05/2020,16
05/05/2020,23
06/05/2020,37
07/05/2020,29
08/05/2020,27
09/05/2020,18
10/05/2020,12
11/05/2020,15
12/05/2020,24
13/05/2020,10
14/05/2020,10
15/05/2020,16
16/05/2020,15
17/05/2020,10
18/05/2020,4
19/05/2020,16
20/05/2020,11
21/05/2020,12
22/05/2020,11
23/05/2020,13
24/05/2020,4
25/05/2020,0
26/05/2020,9
27/05/2020,17
28/05/2020,9
29/05/2020,6
30/05/2020,9
31/05/2020,2
01/06/2020,1
02/06/2020,8
03/06/2020,3
04/06/2020,5
05/06/2020,7
06/06/2020,9
07/06/2020,1
08/06/2020,4
09/06/2020,9
10/06/2020,5
11/06/2020,8
12/06/2020,3
13/06/2020,5
14/06/2020,1
15/06/2020,0
16/06/2020,3
17/06/2020,3
18/06/2020,4
19/06/2020,2
20/06/2020,2
21/06/2020,0
22/06/2020,2
23/06/2020,3
24/06/2020,6
25/06/2020,1
26/06/2020,3
27/06/2020,6
28/06/2020,1
29/06/2020,0
30/06/2020,1
01/07/2020,3
02/07/2020,5
03/07/2020,2
04/07/2020,1
05/07/2020,0
06/07/2020,0
07/07/2020,1
08/07/2020,0
09/07/2020,6
10/07/2020,1
11/07/2020,2
12/07/2020,0
13/07/2020,0
14/07/2020,0
15/07/2020,2
16/07/2020,1
17/07/2020,3
18/07/2020,2
19/07/2020,0
20/07/2020,0
21/07/2020,0
22/07/2020,1
23/07/2020,9
24/07/2020,0
25/07/2020,1
26/07/2020,0
27/07/2020,0
28/07/2020,0
29/07/2020,0
30/07/2020,1
31/07/2020,0
01/08/2020,0
02/08/2020,0
03/08/2020,0
04/08/2020,0
05/08/2020,0
06/08/2020,5
07/08/2020,4
08/08/2020,1
09/08/2020,0
10/08/2020,0
11/08/2020,1
12/08/2020,1
13/08/2020,0
